Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2007-11-01,Beaver Valley 1,100, , , , 
2007-11-01,Beaver Valley 2,100, , , , 
2007-11-01,Calvert Cliffs 1,100, , , , 
2007-11-01,Calvert Cliffs 2,100, , , , 
2007-11-01,FitzPatrick,0,2007-10-27,STARTUP IN PROGRESS,*, 
2007-11-01,Ginna,100, , , , 
2007-11-01,Hope Creek 1,0,2007-10-13,REFUELING OUTAGE, , 
2007-11-01,Indian Point 2,100, , , , 
2007-11-01,Indian Point 3,100, , , , 
2007-11-01,Limerick 1,100, , , , 
2007-11-01,Limerick 2,100, , , , 
2007-11-01,Millstone 2,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-01,Millstone 3,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-01,Nine Mile Point 1,100, , , , 
2007-11-01,Nine Mile Point 2,100, , , , 
2007-11-01,Oyster Creek,100, , , , 
2007-11-01,Peach Bottom 2,100, , , , 
2007-11-01,Peach Bottom 3,100, , , , 
2007-11-01,Pilgrim 1,100, ,LINE 342 AT PARTIAL CAPACITY,*, 
2007-11-01,Salem 1,100, , , , 
2007-11-01,Salem 2,100, , , , 
2007-11-01,Seabrook 1,100, ,307 LINE OOS (1 OF 3), POWER REDUCTION THREAT DUE TO GRID WORK IN NEW YORK UNTIL JANUARY, , 
2007-11-01,Susquehanna 1,77, ,INCREASING POWER,*, 
2007-11-01,Susquehanna 2,100, ,VOLTAGE REGULATOR IN MANUAL, , 
2007-11-01,Three Mile Island 1,0,2007-10-21,REFUELING OUTAGE, , 
2007-11-01,Vermont Yankee,100, , , , 
2007-11-01,Browns Ferry 1,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-01,Browns Ferry 2,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-01,Browns Ferry 3,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-01,Brunswick 1,100, , , , 
2007-11-01,Brunswick 2,100, , , , 
2007-11-01,Catawba 1,100, , , , 
2007-11-01,Catawba 2,0,2007-09-14,REFUELING, , 
2007-11-01,Crystal River 3,100, , ,*, 
2007-11-01,Farley 1,0,2007-09-28,DEFUELED, , 
2007-11-01,Farley 2,100, , , , 
2007-11-01,Harris 1,100, , , , 
2007-11-01,Hatch 1,100, , , , 
2007-11-01,Hatch 2,45, ,CONDENSER WATER BOX REPAIR,*, 
2007-11-01,McGuire 1,100, , , , 
2007-11-01,McGuire 2,100, , , , 
2007-11-01,North Anna 1,100, , , , 
2007-11-01,North Anna 2,100, , , , 
2007-11-01,Oconee 1,100, , , , 
2007-11-01,Oconee 2,100, , , , 
2007-11-01,Oconee 3,0,2007-10-26,REFUELING OUTAGE, , 
2007-11-01,Robinson 2,100, , , , 
2007-11-01,Saint Lucie 1,100, , , , 
2007-11-01,Saint Lucie 2,0,2007-09-30,DEFUELED, , 
2007-11-01,Sequoyah 1,0,2007-10-03,REFUELING OUTAGE, , 
2007-11-01,Sequoyah 2,97, ,INCREASING POWER,*, 
2007-11-01,Summer,100, , , , 
2007-11-01,Surry 1,0,2007-10-20,DEFUELED,*, 
2007-11-01,Surry 2,100, , , , 
2007-11-01,Turkey Point 3,100, , , , 
2007-11-01,Turkey Point 4,100, , , , 
2007-11-01,Vogtle 1,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-01,Vogtle 2,98, ,100% ELECTRICAL CAPABILITY, , 
2007-11-01,Watts Bar 1,100, , , , 
2007-11-01,Braidwood 1,62, ,FEEDWATER HEATER REPAIRS,*, 
2007-11-01,Braidwood 2,100, , , , 
2007-11-01,Byron 1,53, ,INCREASING POWER,*, 
2007-11-01,Byron 2,55, ,INCREASING POWER,*, 
2007-11-01,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-01,D.C. Cook 1,100, , , , 
2007-11-01,D.C. Cook 2,0,2007-09-14,REFUELING OUTAGE, , 
2007-11-01,Davis-Besse,100, , , , 
2007-11-01,Dresden 2,0,2007-10-28,REFUELING OUTAGE, SWITCHYARD WORK,*, 
2007-11-01,Dresden 3,98, ,100% ELECTRICAL CAPABILITY, , 
2007-11-01,Duane Arnold,58, ,FEED PUMP MAINTENANCE,*, 
2007-11-01,Fermi 2,0,2007-09-29,REFUELING OUTAGE, , 
2007-11-01,Kewaunee,100, , , , 
2007-11-01,La Salle 1,95, ,COASTDOWN TO REFUELING OUTAGE,*, 
2007-11-01,La Salle 2,100, , , , 
2007-11-01,Monticello,100, , , , 
2007-11-01,Palisades,100, ,COOK 1 LINE OOS THROUGH 11/1/07 FOR BREAKER PM.,*, 
2007-11-01,Perry 1,100, , , , 
2007-11-01,Point Beach 1,100, , , , 
2007-11-01,Point Beach 2,100, , , , 
2007-11-01,Prairie Island 1,100, , , , 
2007-11-01,Prairie Island 2,100, , , , 
2007-11-01,Quad Cities 1,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-01,Quad Cities 2,96, ,100% ELECTRICAL CAPABILITY,*, 
2007-11-01,Arkansas Nuclear 1,100, , , , 
2007-11-01,Arkansas Nuclear 2,100, , , , 
2007-11-01,Callaway,100, ,LOAD TAP CHANGER IN MANUAL, , 
2007-11-01,Columbia Generating Station,100, , , , 
2007-11-01,Comanche Peak 1,100, , , , 
2007-11-01,Comanche Peak 2,100, , , , 
2007-11-01,Cooper,96, ,TESTING,*, 
2007-11-01,Diablo Canyon 1,100, , , , 
2007-11-01,Diablo Canyon 2,100, , , , 
2007-11-01,Fort Calhoun,100, , , , 
2007-11-01,Grand Gulf 1,100, , , , 
2007-11-01,Palo Verde 1,0,2007-10-22,MAINTENANCE OUTAGE, , 
2007-11-01,Palo Verde 2,100, , , , 
2007-11-01,Palo Verde 3,0,2007-09-29,DEFUELED, , 
2007-11-01,River Bend 1,75, ,PLANNED MAINTENANCE IN PROGRESS,*, 
2007-11-01,San Onofre 2,96, ,S/G LIMITATIONS,*, 
2007-11-01,San Onofre 3,0,2007-10-09,MAINTENANCE OUTAGE, , 
2007-11-01,South Texas 1,100, , , , 
2007-11-01,South Texas 2,100, , , , 
2007-11-01,Waterford 3,100, , , , 
2007-11-01,Wolf Creek 1,100, , , , 
2007-11-02,Beaver Valley 1,100, , , , 
2007-11-02,Beaver Valley 2,100, , , , 
2007-11-02,Calvert Cliffs 1,100, , , , 
2007-11-02,Calvert Cliffs 2,100, , , , 
2007-11-02,FitzPatrick,48, ,INCREASING POWER,*, 
2007-11-02,Ginna,100, , , , 
2007-11-02,Hope Creek 1,0,2007-10-13,REFUELING OUTAGE,*, 
2007-11-02,Indian Point 2,100, , , , 
2007-11-02,Indian Point 3,100, , , , 
2007-11-02,Limerick 1,100, , , , 
2007-11-02,Limerick 2,100, , , , 
2007-11-02,Millstone 2,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-02,Millstone 3,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-02,Nine Mile Point 1,100, , , , 
2007-11-02,Nine Mile Point 2,100, , , , 
2007-11-02,Oyster Creek,100, , , , 
2007-11-02,Peach Bottom 2,100, , , , 
2007-11-02,Peach Bottom 3,100, , , , 
2007-11-02,Pilgrim 1,100, ,LINE 342 AT PARTIAL CAPACITY, , 
2007-11-02,Salem 1,100, , , , 
2007-11-02,Salem 2,100, , , , 
2007-11-02,Seabrook 1,100, ,307 LINE OOS (1 OF 3), POWER REDUCTION THREAT DUE TO GRID WORK IN NEW YORK UNTIL JANUARY, , 
2007-11-02,Susquehanna 1,86, ,INCREASING POWER,*, 
2007-11-02,Susquehanna 2,100, ,VOLTAGE REGULATOR IN MANUAL, , 
2007-11-02,Three Mile Island 1,0,2007-10-21,REFUELING OUTAGE, , 
2007-11-02,Vermont Yankee,100, , , , 
2007-11-02,Browns Ferry 1,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE, , 
2007-11-02,Browns Ferry 2,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE, , 
2007-11-02,Browns Ferry 3,100, ,1 500 KV (OF 7) AND 1 161 KV (OF 2) TRANSMISSION LINES OOS FOR MAINTENANCE, , 
2007-11-02,Brunswick 1,100, , , , 
2007-11-02,Brunswick 2,100, , , , 
2007-11-02,Catawba 1,100, , , , 
2007-11-02,Catawba 2,0,2007-09-14,REFUELING, , 
2007-11-02,Crystal River 3,100, , , , 
2007-11-02,Farley 1,0,2007-09-28,REFUELING OUTAGE,*, 
2007-11-02,Farley 2,100, , , , 
2007-11-02,Harris 1,100, , , , 
2007-11-02,Hatch 1,100, , , , 
2007-11-02,Hatch 2,45, ,CONDENSER WATER BOX REPAIR, , 
2007-11-02,McGuire 1,100, , , , 
2007-11-02,McGuire 2,100, , , , 
2007-11-02,North Anna 1,100, , , , 
2007-11-02,North Anna 2,100, , , , 
2007-11-02,Oconee 1,100, , , , 
2007-11-02,Oconee 2,100, , , , 
2007-11-02,Oconee 3,0,2007-10-26,REFUELING OUTAGE, , 
2007-11-02,Robinson 2,100, , , , 
2007-11-02,Saint Lucie 1,100, , , , 
2007-11-02,Saint Lucie 2,0,2007-09-30,DEFUELED, , 
2007-11-02,Sequoyah 1,0,2007-10-03,REFUELING OUTAGE, , 
2007-11-02,Sequoyah 2,100, , ,*, 
2007-11-02,Summer,100, , , , 
2007-11-02,Surry 1,0,2007-10-20,DEFUELED, , 
2007-11-02,Surry 2,100, , , , 
2007-11-02,Turkey Point 3,100, , , , 
2007-11-02,Turkey Point 4,100, , , , 
2007-11-02,Vogtle 1,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,Vogtle 2,98, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,Watts Bar 1,100, , , , 
2007-11-02,Braidwood 1,69, ,INCREASING POWER,*, 
2007-11-02,Braidwood 2,100, , , , 
2007-11-02,Byron 1,94, ,INCREASING POWER,*, 
2007-11-02,Byron 2,96, ,INCREASING POWER,*, 
2007-11-02,Clinton,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,D.C. Cook 1,100, , , , 
2007-11-02,D.C. Cook 2,0,2007-09-14,REFUELING OUTAGE, , 
2007-11-02,Davis-Besse,100, , , , 
2007-11-02,Dresden 2,0,2007-10-28,REFUELING OUTAGE, SWITCHYARD WORK, , 
2007-11-02,Dresden 3,98, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,Duane Arnold,96, ,INCREASING POWER,*, 
2007-11-02,Fermi 2,0,2007-09-29,REFUELING OUTAGE, , 
2007-11-02,Kewaunee,100, , , , 
2007-11-02,La Salle 1,95, ,COASTDOWN TO REFUELING OUTAGE, , 
2007-11-02,La Salle 2,100, , , , 
2007-11-02,Monticello,100, , , , 
2007-11-02,Palisades,100, , ,*, 
2007-11-02,Perry 1,100, , , , 
2007-11-02,Point Beach 1,100, , , , 
2007-11-02,Point Beach 2,100, , , , 
2007-11-02,Prairie Island 1,100, , , , 
2007-11-02,Prairie Island 2,100, , , , 
2007-11-02,Quad Cities 1,97, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,Quad Cities 2,96, ,100% ELECTRICAL CAPABILITY, , 
2007-11-02,Arkansas Nuclear 1,100, , , , 
2007-11-02,Arkansas Nuclear 2,100, , , , 
2007-11-02,Callaway,100, , ,*, 
2007-11-02,Columbia Generating Station,100, , , , 
2007-11-02,Comanche Peak 1,100, , , , 
2007-11-02,Comanche Peak 2,100, , , , 
2007-11-02,Cooper,100, , ,*, 
2007-11-02,Diablo Canyon 1,100, , , , 
2007-11-02,Diablo Canyon 2,100, , , , 
2007-11-02,Fort Calhoun,100, , , , 
2007-11-02,Grand Gulf 1,100, , , , 
2007-11-02,Palo Verde 1,1, ,INCREASING POWER,*, 
2007-11-02,Palo Verde 2,100, , , , 
2007-11-02,Palo Verde 3,0,2007-09-29,DEFUELED, , 
2007-11-02,River Bend 1,75, ,PLANNED MAINTENANCE IN PROGRESS, , 
2007-11-02,San Onofre 2,96, ,S/G LIMITATIONS, , 
2007-11-02,San Onofre 3,0,2007-10-09,MAINTENANCE OUTAGE, , 
2007-11-02,South Texas 1,100, , , , 
2007-11-02,South Texas 2,100, , , , 
2007-11-02,Waterford 3,100, , , , 
2007-11-02,Wolf Creek 1,100, , , , 
2007-11-03,Beaver Valley 1,100, , , , 
2007-11-03,Beaver Valley 2,100, , , , 
2007-11-03,Calvert Cliffs 1,100, , , , 
2007-11-03,Calvert Cliffs 2,100, , , , 
2007-11-03,FitzPatrick,55, ,HOLDING FOR FEED PUMP MAINTENANCE,*, 
2007-11-03,Ginna,100, , , , 
2007-11-03,Hope Creek 1,0,2007-10-13,REFUELING OUTAGE, , 
2007-11-03,Indian Point 2,100, , , , 
2007-11-03,Indian Point 3,100, , , , 
2007-11-03,Limerick 1,100, , , , 
2007-11-03,Limerick 2,100, , , , 
2007-11-03,Millstone 2,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-03,Millstone 3,100, ,SWITCH YARD WORK - HIGH REACTOR TRIP RISK, LINE 383 OOS ( 1 OF 4 OFFSITE SOURCES), , 
2007-11-03,Nine Mile Point 1,100, , , , 
2007-11-03,Nine Mile Point 2,100, , , , 
2007-11-03,Oyster Creek,100, , , , 
2007-11-03,Peach Bottom 2,100, , , , 
2007-11-03,Peach Bottom 3,100, , , , 
2007-11-03,Pilgrim 1,100, ,LINE 342 AT PARTIAL CAPACITY, , 
2007-11-03,Salem 1,100, , , , 
2007-11-03,Salem 2,100, , , , 
2007-11-03,Seabrook 1,100, ,307 LINE OOS (1 OF 3), POWER REDUCTION THREAT DUE TO GRID WORK IN NEW YORK UNTIL JANUARY, , 
2007-11-03,Susquehanna 1,100, , ,*, 
2007-11-03,Susquehanna 2,100, ,VOLTAGE REGULATOR IN MANUAL, , 
2007-11-03,Three Mile Island 1,0,2007-10-21,DEFUELED,*, 
2007-11-03,Vermont Yankee,100, , , , 
2007-11-03,Browns Ferry 1,37, ,NOBLE METALS INJECTION, 1 OF 7 500 KV TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-03,Browns Ferry 2,100, ,1 OF 7 500 KV TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-03,Browns Ferry 3,100, ,1 OF 7 500 KV TRANSMISSION LINES OOS FOR MAINTENANCE,*, 
2007-11-03,Brunswick 1,100, , , , 
2007-11-03,Brunswick 2,100, , , , 
2007-11-03,Catawba 1,100, , , , 
2007-11-03,Catawba 2,0,2007-09-14,REFUELING, , 
2007-11-03,Crystal River 3,0,2007-11-02,REFUELING OUTAGE,*, 
2007-11-03,Farley 1,0,2007-09-28,REFUELING OUTAGE, , 
2007-11-03,Farley 2,100, , , , 
2007-11-03,Harris 1,100, , , , 
2007-11-03,Hatch 1,100, , , , 
2007-11-03,Hatch 2,93, ,INCREASING POWER, SWITCHYARD WORK,*, 
2007-11-03,McGuire 1,100, , , , 
2007-11-03,McGuire 2,90, ,TURBINE VALVE TESTING,*, 
2007-11-03,North Anna 1,100, , , , 
2007-11-03,North Anna 2,100, , , , 
2007-11-03,Oconee 1,100, , , , 
2007-11-03,Oconee 2,100, , , , 
