Date,Unit,Power,Down,Reason or Comment,Change in report (*),Number of Scrams (#)
2005-09-01,Beaver Valley 1,100, , , , 
2005-09-01,Beaver Valley 2,100, , , , 
2005-09-01,Calvert Cliffs 1,100, , , , 
2005-09-01,Calvert Cliffs 2,100, , , , 
2005-09-01,FitzPatrick,100, , , , 
2005-09-01,Ginna,100, , , , 
2005-09-01,Hope Creek 1,0,2005-08-28,STARTUP IN PROGRESS,*, 
2005-09-01,Indian Point 2,100, , , , 
2005-09-01,Indian Point 3,100, , , , 
2005-09-01,Limerick 1,100, , , , 
2005-09-01,Limerick 2,100, , , , 
2005-09-01,Millstone 2,100, , , , 
2005-09-01,Millstone 3,100, , , , 
2005-09-01,Nine Mile Point 1,100, , , , 
2005-09-01,Nine Mile Point 2,100, , , , 
2005-09-01,Oyster Creek,100, , , , 
2005-09-01,Peach Bottom 2,100, , , , 
2005-09-01,Peach Bottom 3,92, ,COASTDOWN TO REFUELING OUTAGE, , 
2005-09-01,Pilgrim 1,100, , , , 
2005-09-01,Salem 1,98, , ,*, 
2005-09-01,Salem 2,100, , , , 
2005-09-01,Seabrook 1,100, , , , 
2005-09-01,Susquehanna 1,100, , , , 
2005-09-01,Susquehanna 2,100, , , , 
2005-09-01,Three Mile Island 1,100, , , , 
2005-09-01,Vermont Yankee,100, , , , 
2005-09-01,Browns Ferry 1,0,1985-03-03,DEFUELED, , 
2005-09-01,Browns Ferry 2,100, , , , 
2005-09-01,Browns Ferry 3,100, , , , 
2005-09-01,Brunswick 1,100, , , , 
2005-09-01,Brunswick 2,100, , , , 
2005-09-01,Catawba 1,100, , , , 
2005-09-01,Catawba 2,100, , , , 
2005-09-01,Crystal River 3,100, , , , 
2005-09-01,Farley 1,100, , , , 
2005-09-01,Farley 2,100, , , , 
2005-09-01,Harris 1,100, , , , 
2005-09-01,Hatch 1,100, , , , 
2005-09-01,Hatch 2,100, , , , 
2005-09-01,McGuire 1,100, , , , 
2005-09-01,McGuire 2,100, , , , 
2005-09-01,North Anna 1,100, , , , 
2005-09-01,North Anna 2,100, , , , 
2005-09-01,Oconee 1,100, , , , 
2005-09-01,Oconee 2,100, , , , 
2005-09-01,Oconee 3,0,2005-08-31,AUTOMATIC REACTOR TRIP DURING ROUTINE TESTING. SEE EVENT # 41966,*,1
2005-09-01,Robinson 2,100, , , , 
2005-09-01,Saint Lucie 1,100, , , , 
2005-09-01,Saint Lucie 2,100, , , , 
2005-09-01,Sequoyah 1,100, , , , 
2005-09-01,Sequoyah 2,100, , , , 
2005-09-01,Summer,100, , , , 
2005-09-01,Surry 1,100, , , , 
2005-09-01,Surry 2,100, , , , 
2005-09-01,Turkey Point 3,100, , , , 
2005-09-01,Turkey Point 4,100, , , , 
2005-09-01,Vogtle 1,100, , , , 
2005-09-01,Vogtle 2,100, , , , 
2005-09-01,Watts Bar 1,100, , , , 
2005-09-01,Braidwood 1,100, , , , 
2005-09-01,Braidwood 2,100, , , , 
2005-09-01,Byron 1,100, , , , 
2005-09-01,Byron 2,100, , , , 
2005-09-01,Clinton,96, ,100% ELECTRICAL CAPABILITY, , 
2005-09-01,D.C. Cook 1,100, , , , 
2005-09-01,D.C. Cook 2,100, , , , 
2005-09-01,Davis-Besse,100, , , , 
2005-09-01,Dresden 2,0,2005-08-30,WILL REPLACE ELECTRICAL TRANSFORMER,*, 
2005-09-01,Dresden 3,100, , , , 
2005-09-01,Duane Arnold,96, ,100% ELECTRICAL CAPABILITY, , 
2005-09-01,Fermi 2,100, , , , 
2005-09-01,Kewaunee,100, , , , 
2005-09-01,La Salle 1,100, , , , 
2005-09-01,La Salle 2,100, , , , 
2005-09-01,Monticello,100, , , , 
2005-09-01,Palisades,100, , , , 
2005-09-01,Perry 1,100, , , , 
2005-09-01,Point Beach 1,100, , , , 
2005-09-01,Point Beach 2,100, , , , 
2005-09-01,Prairie Island 1,100, , , , 
2005-09-01,Prairie Island 2,100, , , , 
2005-09-01,Quad Cities 1,98, ,100% ELECTRICAL CAPABILITY, , 
2005-09-01,Quad Cities 2,97, ,100% ELECTRICAL CAPABILITY, , 
2005-09-01,Arkansas Nuclear 1,100, , , , 
