Date,Unit,Power,Down,Reason or Comment,Change in report(*),Number of Scrams(#)
2000-07-01,BEAVER VALLEY 1,100, , , , 
2000-07-01,BEAVER VALLEY 2,100, , ,*, 
2000-07-01,CALVERT CLIFFS 1,100, , , , 
2000-07-01,CALVERT CLIFFS 2,100, , , , 
2000-07-01,FITZPATRICK 1,100, , , , 
2000-07-01,GINNA 1,100, , , , 
2000-07-01,HOPE CREEK 1,100, , , , 
2000-07-01,INDIAN POINT 2,0,2000-02-15,REFUELING OUTAGE, , 
2000-07-01,INDIAN POINT 3,100, , , , 
2000-07-01,LIMERICK 1,100, , , , 
2000-07-01,LIMERICK 2,100, , , , 
2000-07-01,MILLSTONE 2,98, , ,*, 
2000-07-01,MILLSTONE 3,100, , , , 
2000-07-01,NINE MILE POINT 1,100, , , , 
2000-07-01,NINE MILE POINT 2,100, , , , 
2000-07-01,OYSTER CREEK 1,100, , ,*, 
2000-07-01,PEACH BOTTOM 2,100, , , , 
2000-07-01,PEACH BOTTOM 3,100, , , , 
2000-07-01,PILGRIM 1,100, , , , 
2000-07-01,SALEM 1,100, , , , 
2000-07-01,SALEM 2,100, , , , 
2000-07-01,SEABROOK 1,100, , ,*, 
2000-07-01,SUSQUEHANNA 1,100, , , , 
2000-07-01,SUSQUEHANNA 2,100, , , , 
2000-07-01,THREE MILE ISLAND 1,100, , , , 
2000-07-01,VERMONT YANKEE 1,100, , , , 
2000-07-01,BROWNS FERRY 1,0,1985-03-03,DEFUELED, , 
2000-07-01,BROWNS FERRY 2,0,2000-06-29,STARTUP PREPARATIONS IN PROGRESS,*, 
2000-07-01,BROWNS FERRY 3,100, , , , 
2000-07-01,BRUNSWICK 1,100, , , , 
2000-07-01,BRUNSWICK 2,55, ,REDUCED POWER FOR SCHEDULED MAINTENANCE,*, 
2000-07-01,CATAWBA 1,100, , , , 
2000-07-01,CATAWBA 2,100, , , , 
2000-07-01,CRYSTAL RIVER 3,100, , , , 
2000-07-01,FARLEY 1,80, ,HOLDING POWER AT THIS LEVEL TO PERFORM COOLING TOWER REPAIRS, , 
2000-07-01,FARLEY 2,100, , , , 
2000-07-01,HARRIS 1,100, , , , 
2000-07-01,HATCH 1,100, , , , 
2000-07-01,HATCH 2,100, , , , 
2000-07-01,MCGUIRE 1,100, , , , 
2000-07-01,MCGUIRE 2,100, , , , 
2000-07-01,NORTH ANNA 1,100, , , , 
2000-07-01,NORTH ANNA 2,100, , , , 
2000-07-01,OCONEE 1,100, , , , 
2000-07-01,OCONEE 2,100, , , , 
2000-07-01,OCONEE 3,100, , , , 
2000-07-01,ROBINSON 2,100, , , , 
2000-07-01,SAINT LUCIE 1,100, , , , 
2000-07-01,SAINT LUCIE 2,100, , , , 
2000-07-01,SEQUOYAH 1,100, , , , 
2000-07-01,SEQUOYAH 2,100, , , , 
2000-07-01,SUMMER 1,100, , , , 
2000-07-01,SURRY 1,100, , , , 
2000-07-01,SURRY 2,100, , , , 
2000-07-01,TURKEY POINT 3,100, , , , 
2000-07-01,TURKEY POINT 4,100, , , , 
2000-07-01,VOGTLE 1,100, , , , 
2000-07-01,VOGTLE 2,100, , , , 
2000-07-01,WATTS BAR 1,100, , , , 
2000-07-01,BRAIDWOOD 1,100, , , , 
2000-07-01,BRAIDWOOD 2,100, , , , 
2000-07-01,BYRON 1,100, , , , 
2000-07-01,BYRON 2,100, , , , 
2000-07-01,CLINTON 1,100, , , , 
2000-07-01,COOK 1,0,1997-09-08,REFUELING OUTAGE - DEFUELED, , 
2000-07-01,COOK 2,93, ,INCREASING POWER,*, 
2000-07-01,DAVIS BESSE 1,100, , , , 
2000-07-01,DRESDEN 2,96, , ,*, 
2000-07-01,DRESDEN 3,100, , , , 
2000-07-01,DUANE ARNOLD 1,100, , , , 
2000-07-01,FERMI 2,100, , , , 
2000-07-01,KEWAUNEE 1,94, ,MAXIMUM POWER DUE TO PLUGGED STEAM GENERATOR TUBES, , 
2000-07-01,LASALLE 1,100, , , , 
2000-07-01,LASALLE 2,98, , ,*, 
2000-07-01,MONTICELLO 1,100, , , , 
2000-07-01,PALISADES 1,100, , , , 
2000-07-01,PERRY 1,98, , , , 
2000-07-01,POINT BEACH 1,100, , ,*, 
2000-07-01,POINT BEACH 2,100, , ,*, 
2000-07-01,PRAIRIE ISLAND 1,100, , , , 
2000-07-01,PRAIRIE ISLAND 2,100, , , , 
2000-07-01,QUAD CITIES 1,100, , , , 
2000-07-01,QUAD CITIES 2,100, , , , 
2000-07-01,ARKANSAS NUCLEAR 1,100, , , , 
2000-07-01,ARKANSAS NUCLEAR 2,96, , , , 
2000-07-01,CALLAWAY 1,100, , , , 
2000-07-01,COMANCHE PEAK 1,100, , , , 
2000-07-01,COMANCHE PEAK 2,100, , , , 
2000-07-01,COOPER 1,100, , , , 
2000-07-01,DIABLO CANYON 1,100, , , , 
2000-07-01,DIABLO CANYON 2,100, , , , 
2000-07-01,FT CALHOUN 1,100, , , , 
2000-07-01,GRAND GULF 1,100, , , , 
2000-07-01,PALO VERDE 1,100, , , , 
2000-07-01,PALO VERDE 2,100, , , , 
2000-07-01,PALO VERDE 3,99, , , , 
2000-07-01,RIVER BEND 1,100, , , , 
2000-07-01,SAN ONOFRE 2,100, , , , 
2000-07-01,SAN ONOFRE 3,100, , , , 
2000-07-01,SOUTH TEXAS 1,100, , , , 
2000-07-01,SOUTH TEXAS 2,97, , ,*, 
2000-07-01,WATERFORD 3,100, , , , 
2000-07-01,WNP-2,0,2000-06-26,MAINTENANCE OUTAGE, , 
2000-07-01,WOLF CREEK 1,100, , , , 
2000-07-02,BEAVER VALLEY 1,90, ,DISPATCH POWER LEVEL,*, 
2000-07-02,BEAVER VALLEY 2,100, , , , 
2000-07-02,CALVERT CLIFFS 1,100, , , , 
2000-07-02,CALVERT CLIFFS 2,100, , , , 
2000-07-02,FITZPATRICK 1,100, , , , 
2000-07-02,GINNA 1,100, , , , 
2000-07-02,HOPE CREEK 1,100, , , , 
2000-07-02,INDIAN POINT 2,0,2000-02-15,REFUELING OUTAGE, , 
2000-07-02,INDIAN POINT 3,100, , , , 
2000-07-02,LIMERICK 1,100, , , , 
2000-07-02,LIMERICK 2,100, , , , 
2000-07-02,MILLSTONE 2,100, , ,*, 
2000-07-02,MILLSTONE 3,100, , , , 
